Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"COOPER, Mr James Edward",1886,1912,26,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-cooper-trimmer.html
"GOSHAWK, Mr Alfred James",1871,1912,40,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/arthur-james-goshawk.html
"BRISTOW, Mr Harry",1873,1912,38,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/harry-bristow.html
"BARRY, Mr James",1881,,31,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-barry.html
"ROTTA, Sig. Angelo Mario",1888,1912,23,Male,Restaurant Staff,,,,Southampton,Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/angelo-mario-rotta.html
"CHORLEY, Mr John Henry",1887,1912,25,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-chorley.html
"ARCHER, Mr Ernest Edward",1876,1917,35,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,16,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ernest-edward-archer.html
"SEWARD, Mr Wilfred Deable",1887,1963,25,Male,Victualling Crew,,,,Southampton,Chief Pantry Steward (2nd Class),SAVED,3,,English,https://www.encyclopedia-titanica.org/titanic-survivor/wilfred-deable-seward.html
"KEEGAN, Mr James",1874,1912,38,Male,Engineering Crew,,,,Southampton,Leading Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-keegan.html
"MANN, Mr Joseph",1885,1955,26,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/joseph-mann.html
"BLACKMAN, Mr Albert Edward",1889,1912,23,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/h-blackman.html
"KEMP, Mr Thomas Hulman",1869,1912,43,Male,Engineering Crew,,,,Belfast,Extra Assistant 4th Engineer (Refrigeration),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-hulman-kemp.html
"HODGES, Mr W.",1886,1912,26,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/w-hodges.html
"STROUD, Mr Edward Alfred Orlando",1893,1912,19,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-alfred-orlando-stroud.html
"MCMICKEN, Mr Arthur",1885,1958,26,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/arthur-mcmicken.html
"BILLOWS, Mr James",1892,1912,20,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/j-billow.html
"BERNARDI, Sig. Battista",1890,1912,22,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,215,Italian,https://www.encyclopedia-titanica.org/titanic-victim/battista-bernardi.html
"CRISPIN, Mr William",1878,1912,33,Male,Victualling Crew,,,,Southampton,Glory Hole Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-crispin.html
"LITTLEJOHN, Mr Alexander James",1872,1949,40,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/alexander-james-littlejohn.html
"ROBINSON, Mrs Annie",1865,1914,47,Female,Victualling Crew,,,,Southampton,Stewardess,SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/annie-robinson.html
"SNELLGROVE, Mr George",1871,1912,41,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/g-snellgrove.html
"COSGROVE, Mr William James Gilligan",1888,1962,24,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-cosgrove.html
"BRYAN, Mr John",1890,,22,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-bryan.html
"MONRóS, Sr. Joan Javier",1892,1912,20,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,27,Spanish,https://www.encyclopedia-titanica.org/titanic-victim/jean-javier-mouros.html
"HILL, Mr James",1887,1912,25,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-hill.html
"SLADE, Mr Bertram",1884,1943,28,Male,Engineering Crew Deserted,,,,Southampton,Fireman,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/slade-b.html
"RICKS, Mr Cyril Gordon",1890,1912,22,Male,Victualling Crew,,,,Southampton,Storekeeper,LOST,,100,English,https://www.encyclopedia-titanica.org/titanic-victim/cyril-ricks.html
"HUGHES, Mr William Thomas",1878,1912,34,Male,Victualling Crew,,,,Southampton,Assistant Second Steward (1st Class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-thomas-hughes.html
"BROOKS, Mr J.",1887,1912,25,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/j-brooks.html
"CUNNINGHAM, Mr Andrew Orr",1873,1932,38,Male,Victualling Crew,,,,Belfast,1st Class Bedroom Steward,SAVED,4,,Scottish,https://www.encyclopedia-titanica.org/titanic-survivor/andrew-cunningham.html
"COTTON, Mr Alfred",1876,1912,35,Male,Engineering Crew Substitute Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/a-cotton.html
"MARTIN, Mrs Annie Martha",1872,1936,39,Female,Victualling Crew,,,,Southampton,Stewardess,SAVED,11,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-survivor/annie-martin.html
"MILFORD, Mr Daniel",1889,1958,22,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/daniel-milford.html
"CROSSLEY, Mr John",1878,1941,33,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-crossley.html
"ENNIS, Mr Walter",1878,1912,34,Male,Victualling Crew,,,,Southampton,Turkish Bath Attendant,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/walter-ennis.html
"MASKELL, Mr Leopold Adolphus",1887,1912,25,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/leopold-adolphus-maskell.html
"MULLHOLLAND, Mr J.",1867,,45,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/j-mullholland.html
"TEUTON, Mr Thomas Moore",1877,1912,35,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,226,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-moore-teuton-fenton.html
"SHAW, Mr Andrew",1875,,37,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/andrew-shaw.html
"BANFI,  Ugo",1887,1912,24,Male,Restaurant Staff,,,,Southampton,Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/ugo-banfi.html
"EVANS, Mr George Richard",1884,1912,27,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-richard-evans.html
"TIZARD, Mr Arthur Leopold",1881,1912,31,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/arthur-tizard.html
"WYETH, Mr James Robert",1886,1912,25,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-wyeth.html
"PHILLIPS, Mr James",1885,,27,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-phillips.html
"BLANN, Mr Eustace Horatius",1890,1912,21,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/eustace-horatius-blann.html
"VICAT, Sig. Alphonse Jean Eugene",1890,1912,21,Male,Restaurant Staff,,,,Southampton,Cook,LOST,,,French,https://www.encyclopedia-titanica.org/titanic-victim/alphonse-jean-eugene-vicat.html
"FARENDEN, Mr Ernest John",1890,1912,22,Male,Victualling Crew,,,,Belfast,Confectioner,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/ernest-john-farrenden.html
"COSGROVE, Mr John",1893,,19,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-cosgrove.html
"CASALI, Sig. Giulio",1880,1912,32,Male,Restaurant Staff,,,,Southampton,Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/giulio-casali.html
"BARNES, Mr Frederick Charles",1872,1912,40,Male,Victualling Crew,,,,Southampton,Assistant baker,LOST,,26,English,https://www.encyclopedia-titanica.org/titanic-victim/baker-frederick-barnes.html
"BENSON, Mr John",1886,,26,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-benson.html
"KIERAN, Mr James William",1877,1912,35,Male,Victualling Crew,,,,Southampton,Chief 3rd Class Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-william-kieran.html
"DORE, Mr Albert James",1889,1953,22,Male,Engineering Crew,,,,Southampton,Trimmer,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/a-dore.html
